Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[bar];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przyklad[bar];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin za turbiną 1/2[°C];Czas [ms];Temp. spalin za turbiną 2/2[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
169;71205;169;2585;132;1002;168;5.964;168;112;633;0;633;0;633;0;730;0;630;1;18;28.4;18;71.4;32;133.12;134;26.8;29;60.000;29;25.000;29;34.000;112;24;113;24;62;11.5;0;453.328;78;0.00;633;0;633;0;633;0;169;175.8;29;0.0;10;0.1;129;0.2;10;1201;169;24;170;0;170;3;719;0;633;1;210;24.6;82;0;633;0;129;1200;755;0;630;0;18;27.0;183;22;19;27.3;133;23.5;133;29.5;133;46.4;28;23.8;28;25.9;28;25.5;19;26.2;183;30;68;107;68;114;68;108;69;116;183;108;183;107;178;23.0;128;21.4;133;23;755;0;755;1;633;0;633;0;633;0;630;1;128;0.35;128;0.3244;
369;71453;369;2613;333;1002;368;5.964;370;121;1635;0;1635;0;1635;0;1732;0;719;1;218;28.4;218;71.4;233;128.16;334;26.8;329;60.000;329;25.000;329;34.000;313;24;313;24;263;11.5;250;453.302;278;0.00;1635;0;1635;0;1635;0;369;176.2;229;0.0;30;0.1;379;0.2;30;1202;369;24;370;0;370;3;1720;0;1635;1;461;24.6;283;0;1635;0;379;1200;1757;0;719;0;219;27.0;384;22;219;27.3;333;23.5;334;29.5;333;46.4;228;23.8;228;25.9;228;25.5;219;26.2;383;30;268;107;269;113;269;107;269;115;383;109;383;106;379;23.0;328;21.4;333;23;1757;0;1757;1;1635;0;1635;0;1635;0;719;1;329;0.35;328;0.3238;
569;71655;569;2668;533;1002;569;5.964;571;84;2636;0;2636;0;2636;0;2733;0;1631;1;419;28.4;418;71.4;433;133.66;534;26.8;629;60.000;629;25.000;629;34.000;513;24;513;24;463;11.5;500;453.242;479;0.00;2636;0;2636;0;2636;0;570;177.9;429;0.0;50;0.1;629;0.2;50;1202;570;24;570;0;570;3;2722;0;2636;1;711;24.5;483;0;2636;0;629;1200;2759;0;1631;0;419;27.0;584;22;419;27.4;534;23.5;533;29.5;533;46.5;428;23.8;428;25.9;429;25.5;419;26.2;584;30;469;107;469;114;469;108;469;116;583;108;583;107;580;23.0;530;21.4;534;23;2758;0;2758;1;2636;0;2636;0;2636;0;1631;1;530;0.35;530;0.3244;
770;71655;770;2695;733;1002;769;5.964;769;56;3638;0;3638;0;3638;0;3735;0;1720;1;619;28.4;619;71.4;634;128.67;734;26.8;930;60.000;930;25.000;930;34.000;713;24;713;24;663;11.5;751;453.076;679;0.00;3638;0;3638;0;3638;0;770;175.7;630;0.0;70;0.1;880;0.2;70;1202;770;24;771;0;771;3;3724;0;3638;1;962;24.5;683;0;3638;0;880;1200;3760;0;1720;0;620;27.0;784;23;619;27.4;734;23.5;734;29.5;734;46.5;629;23.8;629;25.9;629;25.5;619;26.2;784;29;669;107;669;114;669;108;670;116;783;108;784;105;779;23.1;729;21.4;734;23;3760;0;3760;1;3638;0;3638;0;3638;0;1720;1;729;0.35;729;0.3258;
970;71664;970;2649;934;1002;969;5.964;971;75;4640;0;4640;0;4640;0;4737;0;2632;1;819;28.4;819;71.4;833;131.78;935;26.8;1230;60.000;1230;25.000;1230;34.000;913;24;914;24;863;11.5;1001;452.956;879;0.00;4639;0;4639;0;4639;0;970;179.3;830;0.0;90;0.1;1130;0.2;90;1202;970;24;971;0;971;3;4725;0;4639;1;1212;24.5;884;0;4639;0;1130;1200;4762;0;2632;0;820;27.0;985;22;820;27.4;934;23.5;935;29.5;934;46.5;829;23.8;829;25.9;829;25.5;820;26.2;985;29;869;107;869;114;870;108;870;116;985;108;985;107;980;23.1;929;21.4;934;23;4762;0;4762;1;4639;0;4639;0;4639;0;2632;1;929;0.35;930;0.3262;
1171;71710;1171;2594;1134;1002;1171;5.964;1173;84;5641;0;5641;0;5641;0;5738;0;2722;1;1020;28.4;1019;71.4;1034;136.30;1135;26.8;1531;60.000;1531;25.000;1531;34.000;1114;24;1114;24;1064;11.5;1251;453.015;1079;0.00;5641;0;5641;0;5641;0;1172;174.8;1030;0.0;110;0.1;1381;0.2;110;1203;1172;24;1172;0;1173;3;5728;0;5641;1;1462;24.5;1084;0;5641;0;1381;1200;5764;0;2722;0;1020;27.0;1185;22;1020;27.4;1134;23.5;1135;29.5;1134;46.5;1029;23.8;1029;25.9;1030;25.5;1020;26.2;1185;29;1070;107;1070;114;1070;107;1070;116;1184;108;1184;107;1181;23.1;1129;21.4;1135;23;5764;0;5764;1;5641;0;5641;0;5641;0;2722;1;1130;0.38;1130;0.3248;
1370;71710;1370;2594;1334;1002;1370;5.964;1372;84;6643;0;6643;0;6643;0;6740;0;3634;1;1221;28.4;1221;71.4;1234;127.95;1335;26.8;1831;60.000;1831;25.000;1831;34.000;1314;24;1314;24;1264;11.5;1502;453.020;1280;0.00;6642;0;6642;0;6642;0;1371;174.8;1230;0.0;130;0.1;1631;0.2;130;1203;1371;24;1371;0;1372;3;6728;0;6642;1;1713;24.5;1284;0;6642;0;1631;1200;6765;0;3634;0;1222;27.0;1385;22;1221;27.4;1335;23.5;1335;29.5;1335;46.5;1229;23.8;1230;25.9;1230;25.5;1221;26.2;1385;29;1270;107;1270;114;1270;107;1271;116;1384;109;1385;106;1380;23.1;1330;21.4;1334;23;6765;0;6765;1;6642;0;6642;0;6642;0;3634;1;1330;0.38;1330;0.3239;
1571;71673;1571;2613;1535;1002;1570;5.964;1572;75;7644;0;7644;0;7644;0;7741;0;3724;1;1420;28.4;1420;71.4;1434;134.70;1536;26.8;2132;60.000;2132;25.000;2132;34.000;1514;24;1515;24;1464;11.5;1752;452.824;1480;0.00;7644;0;7644;0;7644;0;1571;176.6;1431;0.0;150;0.1;1881;0.2;150;1203;1571;24;1572;0;1572;3;7730;0;7644;1;1963;24.6;1485;0;7644;0;1881;1200;7767;0;3724;0;1420;27.0;1585;22;1421;27.4;1535;23.5;1535;29.5;1535;46.5;1430;23.8;1430;25.9;1430;25.5;1421;26.2;1585;30;1470;107;1470;114;1471;107;1471;116;1585;109;1585;107;1580;23.0;1530;21.4;1535;23;7767;0;7767;1;7644;0;7644;0;7644;0;3724;1;1530;0.38;1530;0.3235;
1771;71645;1771;2631;1735;1002;1771;5.964;1773;37;8646;0;8646;0;8646;0;8743;0;4635;1;1621;28.4;1620;71.4;1635;132.06;1736;26.8;2432;60.000;2432;25.000;2432;34.000;1715;24;1715;24;1665;11.5;2003;452.785;1680;0.00;8645;0;8645;0;8645;0;1771;175.8;1631;0.0;170;0.1;2132;0.2;170;1203;1772;24;1772;1;1772;3;8732;0;8645;1;2213;24.5;1685;0;8645;0;2132;1200;8769;0;4635;0;1621;27.0;1786;22;1621;27.4;1735;23.5;1736;29.5;1736;46.5;1630;23.8;1630;25.9;1631;25.5;1621;26.2;1785;30;1670;107;1671;114;1671;107;1671;116;1785;109;1785;107;1781;23.1;1730;21.4;1735;23;8769;0;8769;1;8645;0;8645;0;8645;0;4635;1;1731;0.38;1730;0.3238;
1972;71691;1971;2640;1935;1002;1971;5.964;1973;47;9647;0;9647;0;9647;0;9745;0;4725;1;1821;28.4;1821;71.4;1836;125.96;1936;26.8;2733;60.000;2733;25.000;2733;34.000;1915;24;1915;24;1865;11.5;2253;452.822;1881;0.00;9647;0;9647;0;9647;0;1972;177.5;1831;0.0;190;0.1;2382;0.2;190;1203;1972;24;1972;0;1973;3;9733;0;9647;1;2464;24.5;1886;0;9647;0;2382;1200;9770;0;4725;0;1822;27.0;1986;21;1821;27.4;1936;23.5;1936;29.5;1936;46.5;1830;23.8;1831;25.9;1831;25.5;1821;26.2;1986;30;1871;107;1871;114;1871;108;1871;116;1985;109;1986;107;1981;23.0;1931;21.4;1935;23;9770;0;9770;1;9647;0;9647;0;9647;0;4725;1;1931;0.38;1931;0.3229;
