Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[bar];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przyklad[bar];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin za turbiną 1/2[°C];Czas [ms];Temp. spalin za turbiną 2/2[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
3581;65333;3581;2604;3544;1001;3580;5.964;3582;112;17066;0;17066;0;17066;0;17164;0;8137;1;3430;28.3;3430;70.5;3444;132.84;3546;26.6;5127;60.000;5127;25.000;5127;34.000;3509;24;3509;24;3458;11.5;4417;414.366;3492;0.00;17065;0;17065;0;17065;0;3581;103.2;3425;0.0;344;0.4;4276;0.2;344;800;3581;24;3581;0;3582;3;17151;0;17065;1;4360;4.0;3495;0;17065;0;4276;800;17216;0;8137;0;3430;26.9;3595;22;3431;27.4;3545;23.4;3546;29.3;3545;46.1;3441;23.5;3442;25.7;3442;25.5;3431;26.2;3595;30;3480;102;3480;106;3481;102;3481;108;3595;106;3595;105;3592;23.0;3542;21.4;3545;23;17216;0;17216;1;17065;0;17065;0;17065;0;8137;1;3542;0.24;3542;0.1885;
3781;65269;3781;2658;3745;1002;3781;5.964;3782;56;18067;0;18067;0;18067;0;18166;0;9033;1;3631;28.3;3630;70.5;3645;136.12;3746;26.6;5427;60.000;5427;25.000;5427;34.000;3709;24;3709;24;3659;11.5;4667;414.303;3693;0.00;18067;0;18067;0;18067;0;3781;105.0;3625;0.0;364;0.3;4526;0.2;364;800;3782;24;3782;0;3782;3;18153;0;18067;1;4610;4.0;3695;0;18067;0;4526;800;18218;0;9033;0;3631;26.9;3796;22;3631;27.4;3746;23.4;3745;29.3;3745;46.1;3642;23.5;3642;25.7;3642;25.5;3631;26.2;3795;30;3680;101;3681;106;3681;102;3681;108;3795;106;3795;105;3792;23.0;3743;21.4;3746;23;18218;0;18218;1;18067;0;18067;0;18067;0;9033;1;3743;0.24;3743;0.1874;
3981;65223;3981;2640;3945;1002;3981;5.964;3983;65;19069;0;19069;0;19069;0;19168;0;9139;1;3831;28.3;3831;70.5;3845;127.70;3946;26.6;5728;60.000;5728;25.000;5728;34.000;3909;24;3909;24;3859;11.5;4918;414.172;3892;0.00;19068;0;19068;0;19068;0;3982;105.3;3825;0.0;384;0.3;4776;0.2;384;800;3982;24;3982;0;3982;3;19154;0;19068;1;4860;4.0;3895;0;19068;0;4776;800;19219;0;9139;0;3831;26.9;3996;22;3831;27.4;3946;23.4;3946;29.3;3946;46.1;3842;23.5;3842;25.7;3843;25.5;3832;26.1;3996;31;3881;102;3881;106;3881;102;3881;108;3995;106;3996;105;3993;23.1;3942;21.4;3945;23;19219;0;19219;1;19068;0;19068;0;19068;0;9139;1;3943;0.24;3942;0.1875;
4182;65159;4181;2649;4145;1002;4181;5.964;4183;10;20070;0;20070;0;20070;0;20169;0;10034;1;4031;28.3;4031;70.5;4046;132.88;4147;26.6;6028;60.000;6028;25.000;6028;34.000;4110;24;4110;24;4059;11.5;5168;414.119;4093;0.00;20070;0;20070;0;20070;0;4182;103.9;4026;0.0;404;0.4;5027;0.2;404;800;4182;24;4182;0;4183;3;20156;0;20070;1;5111;4.0;4095;0;20070;0;5027;800;20221;0;10034;0;4032;27.0;4196;22;4032;27.4;4146;23.4;4147;29.3;4146;46.1;4042;23.5;4043;25.7;4043;25.5;4032;26.2;4196;30;4082;102;4082;106;4083;102;4082;108;4196;106;4196;105;4193;23.1;4143;21.4;4146;23;20221;0;20221;1;20070;0;20070;0;20070;0;10034;1;4143;0.24;4143;0.1906;
4382;65131;4382;2668;4347;1001;4382;5.964;4383;56;21072;0;21072;0;21072;0;21170;0;10140;1;4231;28.3;4231;70.5;4246;126.89;4348;26.6;6329;60.000;6329;25.000;6329;34.000;4310;24;4310;24;4260;11.5;5418;414.127;4293;0.00;21071;0;21071;0;21071;0;4382;102.7;4226;0.0;424;0.4;5277;0.2;424;800;4382;24;4383;0;4383;3;21157;0;21071;1;5361;4.0;4296;0;21071;0;5277;800;21223;0;10140;0;4232;27.0;4398;21;4232;27.4;4347;23.4;4347;29.3;4347;46.0;4243;23.5;4243;25.7;4243;25.5;4232;26.2;4397;30;4281;102;4282;106;4282;102;4282;108;4397;106;4397;106;4393;23.0;4344;21.4;4348;23;21223;0;21223;1;21071;0;21071;0;21071;0;10140;1;4344;0.24;4344;0.1927;
4582;64994;4582;2658;4546;1002;4582;5.964;4583;56;22073;0;22073;0;22073;0;22173;0;11035;1;4432;28.3;4432;70.5;4446;128.52;4547;26.6;6629;60.000;6629;25.000;6629;34.000;4510;24;4510;24;4460;11.5;5669;414.094;4493;0.00;22073;0;22073;0;22073;0;4583;101.3;4426;0.0;444;0.4;5527;0.2;444;800;4583;24;4583;0;4583;3;22159;0;22073;1;5611;4.0;4496;0;22073;0;5527;800;22224;0;11035;0;4432;27.0;4596;21;4432;27.4;4546;23.4;4547;29.3;4547;46.0;4444;23.5;4444;25.7;4444;25.5;4432;26.2;4597;30;4482;102;4482;106;4482;102;4482;108;4596;106;4597;106;4594;23.0;4543;21.4;4546;23;22224;0;22224;1;22073;0;22073;0;22073;0;11035;1;4544;0.45;4543;0.1945;
4782;65076;4784;2622;4746;1001;4782;5.964;4784;56;23076;0;23076;0;23076;0;23174;0;11142;1;4632;28.3;4632;70.5;4646;132.96;4748;26.6;6929;60.000;6929;25.000;6929;34.000;4710;24;4711;24;4660;11.5;5919;413.946;4694;0.00;23076;0;23076;0;23076;0;4783;104.1;4626;0.0;464;0.4;5778;0.2;464;800;4783;24;4783;0;4783;3;23160;0;23076;1;5862;4.0;4696;0;23076;0;5778;800;23226;0;11142;0;4632;27.0;4797;23;4633;27.4;4747;23.4;4747;29.3;4747;46.0;4643;23.5;4644;25.7;4644;25.5;4633;26.1;4797;31;4682;102;4682;106;4682;102;4683;108;4797;106;4797;105;4794;23.0;4743;21.4;4747;23;23226;0;23226;1;23076;0;23076;0;23076;0;11142;1;4744;0.45;4744;0.1971;
4984;65067;4984;2668;4947;1002;4982;5.964;4983;47;24076;0;24076;0;24076;0;24175;0;12037;1;4832;28.3;4832;70.5;4847;126.17;4947;26.6;7230;60.000;7230;25.000;7230;34.000;4911;24;4911;24;4861;11.5;6170;413.959;4894;0.00;24076;0;24076;0;24076;0;4984;105.6;4827;0.0;484;0.4;6028;0.2;484;800;4983;24;4983;1;4983;3;24162;0;24076;1;6112;4.0;4897;0;24076;0;6028;800;24228;0;12037;0;4833;27.0;4998;23;4833;27.4;4948;23.4;4947;29.4;4948;46.0;4844;23.5;4844;25.7;4844;25.5;4833;26.1;4998;30;4882;103;4883;107;4883;103;4883;109;4998;106;4998;105;4994;23.1;4944;21.4;4948;23;24228;0;24228;1;24076;0;24076;0;24076;0;12037;1;4944;0.45;4944;0.2004;
5183;65012;5183;2658;5147;1002;5183;5.964;5184;65;25078;0;25078;0;25078;0;25177;0;12143;1;5033;28.3;5032;70.5;5048;136.13;5148;26.6;7530;60.000;7530;25.000;7530;34.000;5111;24;5111;24;5061;11.5;6420;413.832;5094;0.00;25078;0;25078;0;25078;0;5183;104.4;5027;0.0;504;0.4;6278;0.2;504;801;5184;24;5184;1;5184;3;25163;0;25078;1;6362;4.0;5097;0;25078;0;6278;800;25230;0;12143;0;5033;26.9;5198;23;5033;27.4;5147;23.4;5148;29.4;5148;46.0;5044;23.5;5044;25.7;5044;25.5;5033;26.1;5197;30;5083;103;5083;107;5083;103;5083;109;5197;106;5198;105;5195;23.1;5144;21.4;5147;23;25230;0;25230;1;25078;0;25078;0;25078;0;12143;1;5145;0.45;5144;0.2021;
5383;64874;5385;2585;5347;1002;5383;5.964;5384;47;26079;0;26079;0;26079;0;26178;0;13038;1;5233;28.3;5233;70.5;5247;133.67;5349;26.6;7831;60.000;7831;25.000;7831;34.000;5311;24;5311;24;5261;11.5;6670;413.659;5295;0.00;26079;0;26079;0;26079;0;5384;103.8;5227;0.0;524;0.4;6529;0.2;524;801;5384;24;5384;1;5384;3;26165;0;26079;1;6613;4.0;5297;0;26079;0;6529;800;26231;0;13038;0;5233;27.0;5398;23;5233;27.4;5348;23.4;5348;29.4;5348;46.0;5244;23.5;5244;25.7;5245;25.5;5234;26.2;5398;30;5283;102;5283;106;5283;102;5284;108;5397;106;5398;105;5395;23.1;5344;21.4;5347;23;26231;0;26231;1;26079;0;26079;0;26079;0;13038;1;5345;0.45;5345;0.2033;
