Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[bar];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przyklad[bar];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin za turbiną 1/2[°C];Czas [ms];Temp. spalin za turbiną 2/2[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
2039;57103;2039;2631;2003;1002;2038;5.964;2040;103;10116;0;10116;0;10116;0;10203;1;5175;1;2089;28.4;2088;68.9;2104;136.49;2004;26.7;3273;60.000;3273;25.000;3273;34.000;2053;24;2053;24;2003;11.4;2705;269.629;2141;0.00;10116;0;10116;0;10116;0;2039;185.7;2171;0.0;200;0.3;2421;0.2;200;1305;2039;24;2040;0;2040;3;10201;0;10116;1;2743;15.8;2153;0;10116;0;2421;800;10123;0;5175;0;2089;26.2;2054;23;2089;27.2;2004;23.9;2004;29.7;2004;49.6;2091;23.1;2091;25.5;2091;25.0;2089;27.7;2054;33;2139;119;2140;123;2140;121;2140;123;2053;130;2054;129;2041;23.1;2191;21.4;2003;22;10123;0;10123;1;10116;0;10116;0;10116;0;5175;1;2191;0.22;2191;0.3656;
2240;57030;2240;2640;2204;1002;2239;5.964;2240;56;11117;0;11117;0;11117;0;11205;1;5193;1;2289;28.4;2289;68.9;2303;128.42;2204;26.7;3573;60.000;3573;25.000;3573;34.000;2253;24;2254;24;2203;11.4;2956;273.738;2341;0.00;11117;0;11117;0;11117;0;2240;189.9;2372;0.0;220;0.3;2672;0.2;220;1305;2239;24;2239;0;2239;3;11203;0;11117;1;2994;13.3;2354;0;11117;0;2672;800;11125;0;5193;0;2289;26.2;2254;23;2289;27.2;2203;23.9;2204;29.7;2203;49.6;2291;23.1;2291;25.5;2292;25.0;2290;27.7;2254;34;2339;119;2339;123;2339;121;2340;123;2253;131;2254;130;2241;23.1;2391;21.4;2205;22;11125;0;11125;1;11117;0;11117;0;11117;0;5193;1;2392;0.22;2392;0.3656;
2440;56984;2440;2677;2403;1002;2439;5.963;2439;65;12119;0;12119;0;12119;0;12207;1;6177;1;2489;28.4;2489;68.9;2503;132.74;2405;26.7;3874;60.000;3874;25.000;3874;34.000;2454;24;2454;24;2404;11.4;3206;278.339;2542;0.00;12118;0;12118;0;12118;0;2440;197.0;2572;0.0;240;0.3;2922;0.2;240;1305;2440;24;2441;0;2439;3;12204;0;12118;1;3244;11.7;2554;0;12118;0;2922;800;12126;0;6177;0;2489;26.2;2454;23;2490;27.2;2404;23.9;2405;29.7;2404;49.6;2491;23.1;2492;25.5;2492;25.0;2490;27.8;2455;34;2539;119;2539;123;2540;121;2540;123;2453;131;2454;130;2442;23.1;2593;21.4;2403;22;12126;0;12126;1;12118;0;12118;0;12118;0;6177;1;2593;0.22;2593;0.3656;
2640;57057;2640;2640;2604;1002;2639;5.964;2641;56;13120;0;13120;0;13120;0;13209;1;6195;1;2690;28.4;2689;68.9;2704;128.91;2605;26.7;4174;60.000;4174;25.000;4174;34.000;2654;24;2654;24;2604;11.4;3456;282.579;2742;0.00;13120;0;13120;0;13120;0;2640;189.1;2772;0.0;260;0.3;3173;0.2;260;1305;2640;24;2640;0;2641;3;13205;0;13120;1;3495;10.4;2754;0;13120;0;3173;800;13128;0;6195;0;2690;26.2;2655;20;2690;27.2;2604;23.9;2605;29.7;2605;49.6;2692;23.1;2692;25.5;2692;25.0;2690;27.8;2655;33;2739;118;2740;124;2740;121;2740;123;2654;131;2654;130;2643;23.0;2792;21.4;2604;22;13128;0;13128;1;13120;0;13120;0;13120;0;6195;1;2792;0.22;2792;0.3656;
2840;57076;2840;2658;2804;1002;2840;5.964;2841;112;14122;0;14122;0;14122;0;14211;1;7178;1;2891;28.4;2890;68.9;2904;126.73;2805;26.7;4474;60.000;4474;25.000;4474;34.000;2854;24;2854;24;2804;11.4;3707;287.000;2942;0.00;14121;0;14121;0;14121;0;2840;184.0;2972;0.0;280;0.3;3423;0.2;280;1304;2841;24;2841;0;2841;3;14207;0;14121;1;3745;9.5;2954;0;14121;0;3423;800;14129;0;7178;0;2890;26.2;2855;21;2890;27.1;2805;23.9;2804;29.7;2805;49.6;2892;23.1;2892;25.5;2893;25.0;2890;27.8;2855;33;2940;119;2940;124;2940;121;2940;123;2854;131;2855;130;2842;23.1;2992;21.4;2805;22;14129;0;14129;1;14121;0;14121;0;14121;0;7178;1;2993;0.22;2992;0.3656;
3040;57076;3040;2658;3004;1002;3040;5.964;3042;112;15123;0;15123;0;15123;0;15213;1;7196;1;3090;28.4;3090;68.9;3106;131.29;3006;26.7;4775;60.000;4775;25.000;4775;34.000;3055;24;3055;24;3005;11.4;3957;291.251;3142;0.00;15123;0;15123;0;15123;0;3041;184.0;3173;0.0;300;0.3;3673;0.2;300;1304;3041;24;3041;0;3041;3;15209;0;15123;1;3995;8.4;3154;0;15123;0;3673;800;15131;0;7196;0;3091;26.2;3056;22;3091;27.1;3005;23.9;3006;29.7;3005;49.6;3092;23.1;3093;25.5;3093;25.0;3090;27.8;3055;33;3140;119;3140;124;3141;121;3141;123;3054;131;3055;129;3043;23.1;3192;21.4;3004;22;15131;0;15131;1;15123;0;15123;0;15123;0;7196;1;3193;0.22;3193;0.3656;
3241;57030;3240;2686;3205;1002;3240;5.964;3242;149;16125;0;16125;0;16125;0;16214;1;8180;1;3290;28.4;3290;68.9;3305;129.07;3207;26.7;5075;60.000;5075;25.000;5075;34.000;3255;24;3255;24;3205;11.4;4208;295.918;3343;0.00;16124;0;16124;0;16124;0;3241;166.0;3373;0.0;320;0.3;3924;0.2;320;1304;3241;24;3241;0;3242;3;16210;0;16124;1;4246;7.6;3355;0;16124;0;3924;800;16133;0;8180;0;3291;26.2;3256;22;3291;27.1;3206;23.9;3207;29.7;3206;49.6;3293;23.1;3293;25.5;3293;25.0;3291;27.7;3256;33;3340;119;3341;124;3341;121;3341;123;3256;131;3256;129;3243;23.1;3393;21.4;3206;22;16133;0;16133;1;16124;0;16124;0;16124;0;8180;1;3393;0.22;3393;0.3656;
3441;56938;3441;2668;3405;1002;3441;5.964;3442;140;17127;0;17127;0;17127;0;17216;1;8198;1;3491;28.4;3491;68.9;3505;125.75;3406;26.7;5376;60.000;5376;25.000;5376;34.000;3455;24;3455;24;3405;11.4;4458;300.094;3543;0.00;17127;0;17127;0;17127;0;3441;157.5;3573;0.0;340;0.3;4174;0.2;340;1304;3441;24;3442;0;3442;3;17212;0;17127;1;4496;7.0;3555;0;17127;0;4174;800;17135;0;8198;0;3491;26.2;3456;22;3491;27.1;3406;23.9;3406;29.7;3405;49.6;3493;23.1;3493;25.5;3493;25.0;3491;27.7;3456;32;3541;118;3541;123;3541;120;3541;123;3455;131;3456;129;3443;23.1;3593;21.4;3406;22;17135;0;17135;1;17127;0;17127;0;17127;0;8198;1;3594;0.22;3593;0.3656;
3642;56938;3642;2668;3605;1002;3642;5.964;3643;140;18128;0;18128;0;18128;0;18218;1;9181;1;3692;28.4;3692;68.9;3705;133.93;3607;26.7;5676;60.000;5676;25.000;5676;34.000;3655;24;3656;24;3605;11.4;4708;304.584;3743;0.00;18127;0;18127;0;18127;0;3642;157.5;3773;0.0;360;0.3;4424;0.2;360;1304;3643;24;3643;0;3643;3;18214;0;18127;1;4746;6.5;3755;0;18127;0;4424;800;18136;0;9181;0;3693;26.2;3656;23;3693;27.1;3606;23.9;3606;29.7;3606;49.6;3693;23.1;3694;25.5;3694;25.0;3692;27.8;3656;32;3741;118;3741;123;3741;120;3742;123;3655;130;3656;129;3644;23.1;3793;21.4;3606;22;18136;0;18136;1;18127;0;18127;0;18127;0;9181;1;3794;0.22;3794;0.3656;
3842;56828;3841;2631;3805;1002;3841;5.964;3843;112;19129;0;19129;0;19129;0;19219;1;9199;1;3891;28.4;3891;68.9;3906;128.85;3807;26.7;5977;60.000;5977;25.000;5977;34.000;3856;24;3856;24;3806;11.4;4959;308.821;3944;0.00;19129;0;19129;0;19129;0;3842;145.4;3974;0.0;380;0.2;4675;0.2;380;1303;3842;24;3842;0;3843;3;19215;0;19129;1;4997;6.1;3956;0;19129;0;4675;800;19138;0;9199;0;3892;26.2;3857;23;3892;27.1;3806;23.9;3807;29.7;3807;49.6;3894;23.1;3894;25.5;3894;25.0;3892;27.8;3857;33;3941;118;3942;123;3942;120;3942;123;3856;130;3856;130;3844;23.1;3994;21.4;3806;22;19138;0;19138;1;19129;0;19129;0;19129;0;9199;1;3995;0.22;3994;0.3656;
