Czas [ms];aaaa[°C];Czas [ms];bbbb[-];Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[kPa];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kanał_Statyczny1[-];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przepustnica Tryb0[%];Czas [ms];Przyklad[bar];Czas [ms];PWM Tryb0[%];Czas [ms];Rozrusznik[-];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin 5/6[°C];Czas [ms];Temp. spalin 6/6[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
2003;12.9;10366;0;2030;-258;2029;-205;2027;1003;2029;3.5;2031;-93;10340;0;10340;0;10340;0;10367;0;5384;0;2079;14;2079;14;2127;132.72;2028;19;3293;60.000;3293;26.000;3293;30.000;2079;16;2129;16;2029;11.6;2743;611.8835;10404;0;2103;0.00;10340;0;10340;0;10340;0;2030;0.0;1090;0.0;212;-0.7;212;0;2030;14;2030;2;2031;80;10392;0;10340;1;2575;0.1;1391;0.1;2177;0;1391;0.0;10340;0;10918;0;5384;0;2080;16;2078;13;2080;17;2027;14.8;2028;15;2027;16;2052;18;2053;18;2053;17;2080;17;2077;16;2129;15;2130;14;2130;14;2130;14;2077;0;2077;0;2003;18.9;2153;30.5;2027;41;10917;0;10917;1;10340;0;10340;0;10340;0;5384;0;2153;0.0000;2153;0.00;
2203;12.9;11368;0;2230;-249;2230;-260;2227;1003;2229;3.5;2231;-93;11341;0;11341;0;11341;0;11369;0;5397;0;2280;14;2279;14;2328;140.27;2228;19;3594;60.000;3594;26.000;3594;30.000;2279;16;2329;16;2229;11.6;2994;611.9036;11405;0;2303;0.00;11341;0;11341;0;11341;0;2230;0.0;1191;0.0;232;-0.7;232;0;2230;14;2231;2;2231;80;11393;0;11341;1;2826;0.1;1391;0.1;2378;0;1391;0.0;11341;0;11919;0;5397;0;2280;16;2278;14;2280;17;2228;14.8;2228;15;2228;16;2253;18;2253;18;2253;17;2280;17;2278;15;2330;15;2331;14;2331;14;2331;14;2277;0;2278;0;2203;18.8;2353;30.5;2227;41;11919;0;11919;1;11341;0;11341;0;11341;0;5397;0;2353;0.0000;2353;0.00;
2403;12.9;12371;0;2431;-249;2431;-288;2427;1003;2431;3.5;2432;-112;12343;0;12343;0;12343;0;12371;0;6386;0;2480;14;2480;14;2528;137.45;2429;19;3894;60.000;3894;26.000;3894;30.000;2479;16;2529;16;2429;11.6;3244;611.8783;12407;0;2503;0.00;12343;0;12343;0;12343;0;2431;0.0;1291;0.0;252;-0.7;252;0;2431;14;2432;2;2432;80;12395;0;12343;1;3076;0.1;1641;0.1;2578;0;1641;0.0;12343;0;12921;0;6386;0;2480;16;2478;14;2480;17;2428;14.8;2428;15;2428;16;2453;18;2453;18;2454;17;2481;17;2478;15;2530;15;2530;14;2531;14;2530;14;2478;0;2478;0;2403;18.8;2553;30.5;2428;41;12921;0;12921;1;12343;0;12343;0;12343;0;6386;0;2553;0.0000;2554;0.00;
2604;12.9;13371;0;2631;-249;2630;-288;2628;1003;2630;3.5;2632;-112;13344;0;13344;0;13344;0;13372;0;6398;0;2680;14;2680;14;2728;141.30;2629;19;4195;60.000;4195;26.000;4195;30.000;2680;16;2730;16;2630;11.6;3495;611.9219;13408;0;2704;0.00;13344;0;13344;0;13344;0;2631;0.0;1391;0.0;272;-0.7;272;0;2631;14;2631;2;2631;80;13396;0;13344;1;3327;0.1;1641;0.1;2778;0;1641;0.0;13344;0;13923;0;6398;0;2681;16;2679;14;2681;17;2628;14.8;2629;15;2628;16;2653;18;2654;18;2654;17;2681;17;2678;15;2730;15;2730;14;2731;14;2731;14;2678;0;2678;0;2604;18.9;2754;30.5;2628;41;13923;0;13923;1;13344;0;13344;0;13344;0;6398;0;2754;0.0000;2754;0.00;
2804;12.9;14372;0;2831;-249;2831;-352;2828;1003;2830;3.5;2832;-121;14346;0;14346;0;14346;0;14373;0;7387;0;2881;14;2880;14;2928;132.58;2829;19;4495;60.000;4495;26.000;4495;30.000;2880;16;2930;16;2830;11.6;3745;611.9568;14410;0;2904;0.00;14346;0;14346;0;14346;0;2831;0.0;1491;0.0;292;-0.7;292;0;2831;14;2832;2;2832;80;14398;0;14346;1;3577;0.1;1891;0.1;2978;0;1891;0.0;14346;0;14924;0;7387;0;2881;16;2879;14;2881;17;2828;14.8;2829;15;2829;16;2854;18;2854;18;2854;17;2881;17;2879;15;2931;15;2931;14;2931;14;2931;15;2878;0;2878;0;2804;18.8;2954;30.5;2828;41;14924;0;14924;1;14346;0;14346;0;14346;0;7387;0;2955;0.0000;2954;0.00;
3004;12.9;15375;0;3032;-222;3032;-352;3029;1003;3032;3.5;3032;-140;15348;0;15348;0;15348;0;15373;0;7399;0;3082;14;3082;14;3129;136.13;3033;19;4796;60.000;4796;26.000;4796;30.000;3080;16;3130;16;3030;11.6;3995;611.8992;15411;0;3105;0.00;15347;0;15347;0;15347;0;3031;0.0;1591;0.0;312;-0.6;312;0;3031;14;3031;2;3031;80;15400;0;15347;1;3827;0.1;1891;0.1;3179;0;1891;0.0;15347;0;15926;0;7399;0;3082;16;3079;15;3082;17;3030;14.8;3030;15;3030;16;3055;18;3055;18;3055;17;3083;17;3079;15;3131;15;3131;14;3131;14;3132;15;3079;0;3079;0;3004;18.9;3154;30.5;3030;41;15926;0;15926;1;15347;0;15347;0;15347;0;7399;0;3154;0.0000;3155;0.00;
3204;13.0;16376;0;3232;-240;3232;-306;3229;1003;3231;3.5;3232;-214;16350;0;16350;0;16350;0;16375;0;8389;0;3281;14;3281;14;3330;135.29;3230;19;5096;60.000;5096;26.000;5096;30.000;3281;16;3331;16;3230;11.6;4246;611.8029;16412;0;3305;0.00;16350;0;16350;0;16350;0;3232;0.0;1691;0.0;332;-0.6;332;0;3233;14;3231;2;3231;80;16401;0;16350;1;4078;0.1;2142;0.1;3379;0;2142;0.0;16350;0;16928;0;8389;0;3281;16;3279;15;3282;17;3229;14.8;3230;15;3229;16;3254;18;3255;18;3255;17;3282;17;3279;15;3331;15;3331;15;3332;14;3332;15;3279;0;3280;0;3205;18.9;3354;30.5;3229;41;16928;0;16928;1;16350;0;16350;0;16350;0;8389;0;3355;0.0000;3355;0.00;
3405;12.9;17376;0;3432;-240;3432;-279;3429;1003;3431;3.5;3433;-252;17351;0;17351;0;17351;0;17377;0;8401;0;3482;14;3481;14;3529;135.28;3430;19;5397;60.000;5397;26.000;5397;30.000;3481;16;3531;16;3431;11.6;4496;611.7737;17414;0;3505;0.00;17350;0;17350;0;17350;0;3432;0.0;1791;0.0;352;-0.7;352;0;3432;14;3432;2;3433;80;17403;0;17350;1;4328;0.1;2142;0.1;3579;0;2142;0.0;17350;0;17929;0;8401;0;3482;16;3480;14;3482;17;3429;14.8;3430;15;3430;16;3455;18;3455;18;3455;17;3482;17;3480;15;3531;15;3532;15;3532;14;3532;15;3479;0;3479;0;3405;18.9;3555;30.5;3429;41;17929;0;17929;1;17350;0;17350;0;17350;0;8401;0;3555;0.0000;3555;0.00;
3605;12.9;18378;0;3634;-268;3634;-242;3629;1003;3632;3.6;3634;-224;18353;0;18353;0;18353;0;18379;0;9390;0;3682;14;3682;14;3729;140.94;3630;19;5697;60.000;5697;26.000;5697;30.000;3681;16;3731;16;3631;11.6;4747;611.8663;18415;0;3706;0.00;18352;0;18352;0;18352;0;3633;0.0;1892;0.0;372;-0.7;372;0;3633;14;3633;2;3633;80;18404;0;18352;1;4578;0.1;2392;0.1;3780;0;2392;0.0;18352;0;18931;0;9390;0;3682;16;3680;15;3682;17;3630;14.8;3630;15;3630;16;3655;18;3655;18;3655;17;3683;17;3680;15;3732;14;3732;13;3732;14;3732;15;3680;0;3680;0;3605;18.9;3755;30.5;3629;41;18931;0;18931;1;18352;0;18352;0;18352;0;9390;0;3755;0.0000;3756;0.00;
3805;12.9;19380;0;3833;-268;3833;-242;3830;1003;3832;3.6;3833;-224;19355;0;19355;0;19355;0;19381;0;9402;0;3882;14;3882;14;3930;135.16;3831;19;5997;60.000;5997;26.000;5997;30.000;3881;16;3931;16;3831;11.6;4997;611.9395;19417;0;3906;0.00;19354;0;19354;0;19354;0;3833;0.0;1992;0.0;392;-0.7;392;0;3834;14;3832;2;3832;80;19406;0;19354;1;4829;0.1;2392;0.1;3980;0;2392;0.0;19354;0;19933;0;9402;0;3882;16;3880;15;3883;17;3830;14.8;3831;15;3830;16;3855;18;3855;18;3856;17;3883;17;3880;15;3932;14;3932;13;3933;14;3933;15;3880;0;3880;0;3806;18.9;3955;30.5;3830;41;19933;0;19933;1;19354;0;19354;0;19354;0;9402;0;3956;0.0000;3956;0.00;
