Czas [ms];aaaa[°C];Czas [ms];bbbb[-];Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[kPa];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kanał_Statyczny1[-];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przepustnica Tryb0[%];Czas [ms];Przyklad[bar];Czas [ms];PWM Tryb0[%];Czas [ms];Rozrusznik[-];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin 5/6[°C];Czas [ms];Temp. spalin 6/6[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
2103;12.9;10667;0;2130;-212;2130;-251;2127;1003;2130;3.5;2131;-224;10641;0;10641;0;10641;0;10667;0;5685;0;2180;14;2180;14;2027;136.09;2128;19;3296;60.000;3296;26.000;3296;30.000;2181;16;2031;16;2131;11.5;2543;611.7521;10707;0;2003;0.00;10640;0;10640;0;10640;0;2130;0.0;1093;0.0;214;-0.7;214;0;2130;14;2131;2;2131;80;10693;0;10640;1;2628;0.1;1443;0.1;2077;0;1443;0.0;10640;0;10213;0;5685;0;2180;16;2178;14;2180;17;2128;14.8;2128;15;2128;16;2153;18;2153;18;2153;17;2180;17;2178;15;2029;15;2030;14;2030;14;2030;14;2177;0;2178;0;2103;18.7;2052;30.5;2127;41;10213;0;10213;1;10640;0;10640;0;10640;0;5685;0;2053;0.0000;2053;0.01;
2303;12.9;11668;0;2331;-240;2331;-279;2328;1003;2331;3.5;2333;-224;11643;0;11643;0;11643;0;11669;0;5699;0;2381;14;2380;14;2227;140.40;2329;19;3596;60.000;3596;26.000;3596;30.000;2382;16;2232;16;2332;11.5;2793;612.5457;11708;0;2203;0.00;11643;0;11643;0;11643;0;2331;0.0;1193;0.0;234;-0.7;234;0;2332;14;2332;2;2332;80;11694;0;11643;1;2878;0.1;1443;0.1;2278;0;1443;0.0;11643;0;11215;0;5699;0;2380;16;2379;14;2380;17;2328;14.8;2328;15;2328;16;2353;18;2353;18;2353;17;2381;17;2378;15;2230;15;2230;14;2230;14;2230;14;2378;0;2378;0;2303;18.7;2253;30.5;2328;41;11215;0;11215;1;11643;0;11643;0;11643;0;5699;0;2253;0.0000;2253;0.01;
2503;13.0;12670;0;2531;-240;2530;-279;2528;1003;2530;3.5;2532;-224;12644;0;12644;0;12644;0;12671;0;6686;0;2581;14;2580;14;2428;141.57;2529;19;3897;60.000;3897;26.000;3897;30.000;2582;16;2432;16;2532;11.5;3044;611.3446;12710;0;2404;0.00;12643;0;12643;0;12643;0;2531;0.0;1293;0.0;254;-0.7;254;0;2531;14;2531;2;2532;80;12696;0;12643;1;3128;0.1;1694;0.1;2478;0;1694;0.0;12643;0;12216;0;6686;0;2581;16;2579;14;2581;17;2528;14.8;2529;15;2529;16;2553;18;2553;18;2554;17;2580;17;2579;15;2430;15;2430;14;2430;14;2431;14;2578;0;2578;0;2504;18.7;2453;30.5;2528;41;12216;0;12216;1;12643;0;12643;0;12643;0;6686;0;2453;0.0000;2454;0.01;
2704;12.9;13672;0;2731;-194;2731;-315;2728;1003;2730;3.5;2732;-186;13645;0;13645;0;13645;0;13672;0;6701;0;2781;14;2780;14;2629;132.94;2729;19;4197;60.000;4197;26.000;4197;30.000;2782;16;2632;16;2732;11.5;3294;611.8046;13711;0;2604;0.00;13645;0;13645;0;13645;0;2731;0.0;1393;0.0;274;-0.7;274;0;2731;14;2732;2;2732;80;13697;0;13645;1;3379;0.1;1694;0.1;2678;0;1694;0.0;13645;0;13218;0;6701;0;2781;16;2779;14;2781;17;2729;14.8;2729;15;2729;16;2754;18;2754;18;2754;17;2781;17;2779;15;2630;15;2631;14;2631;14;2631;14;2778;0;2779;0;2704;18.8;2653;30.5;2728;41;13218;0;13218;1;13645;0;13645;0;13645;0;6701;0;2655;0.0000;2654;0.01;
2904;13.0;14673;0;2931;-240;2931;-315;2928;1003;2931;3.5;2932;-205;14647;0;14647;0;14647;0;14674;0;7689;0;2982;14;2981;14;2828;136.85;2930;19;4498;60.000;4498;26.000;4498;30.000;2983;16;2832;16;2933;11.5;3544;611.7916;14713;0;2804;0.00;14646;0;14646;0;14646;0;2931;0.0;1493;0.0;294;-0.7;294;0;2932;14;2932;2;2932;80;14700;0;14646;1;3629;0.1;1944;0.1;2879;0;1944;0.0;14646;0;14220;0;7689;0;2981;16;2979;14;2981;17;2929;14.8;2929;15;2929;16;2954;18;2954;18;2954;17;2981;17;2979;15;2831;15;2831;14;2831;14;2831;14;2979;0;2979;0;2904;18.7;2854;30.5;2929;41;14220;0;14220;1;14646;0;14646;0;14646;0;7689;0;2854;0.0153;2854;0.01;
3104;13.0;15675;0;3132;-258;3131;-324;3129;1003;3131;3.6;3133;-233;15648;0;15648;0;15648;0;15675;0;7702;0;3182;14;3181;14;3029;137.59;3130;19;4798;60.000;4798;26.000;4798;30.000;3183;16;3033;16;3133;11.5;3795;611.7901;15714;0;3004;0.00;15648;0;15648;0;15648;0;3132;0.0;1594;0.0;314;-0.7;314;0;3132;14;3132;2;3132;80;15700;0;15648;1;3880;0.1;1944;0.1;3079;0;1944;0.0;15648;0;15221;0;7702;0;3182;16;3180;14;3182;17;3129;14.8;3130;15;3129;16;3154;18;3154;18;3155;17;3181;17;3179;15;3031;15;3031;13;3031;14;3032;14;3179;0;3179;0;3105;18.8;3054;30.5;3129;41;15221;0;15221;1;15648;0;15648;0;15648;0;7702;0;3054;0.0000;3054;0.01;
3305;12.9;16676;0;3332;-268;3332;-297;3329;1003;3331;3.6;3333;-242;16651;0;16651;0;16651;0;16677;0;8690;0;3382;14;3381;14;3229;139.62;3330;19;5098;60.000;5098;26.000;5098;30.000;3383;16;3233;16;3333;11.5;4045;611.7897;16715;0;3204;0.00;16651;0;16651;0;16651;0;3332;0.0;1694;0.0;334;-0.7;334;0;3332;14;3333;2;3333;80;16702;0;16651;1;4130;0.1;2194;0.1;3280;0;2194;0.0;16651;0;16223;0;8690;0;3382;16;3380;15;3382;17;3330;14.8;3330;15;3330;16;3354;18;3355;18;3355;17;3382;17;3380;15;3231;15;3231;14;3232;14;3232;14;3379;0;3380;0;3306;18.7;3255;30.5;3329;41;16223;0;16223;1;16651;0;16651;0;16651;0;8690;0;3256;0.0000;3256;0.01;
3505;13.0;17678;0;3532;-268;3532;-233;3529;1003;3532;3.6;3533;-196;17652;0;17652;0;17652;0;17677;0;8704;0;3582;14;3582;14;3429;140.44;3531;19;5399;60.000;5399;26.000;5399;30.000;3583;16;3433;16;3534;11.5;4296;611.8062;17717;0;3405;0.00;17651;0;17651;0;17651;0;3532;0.0;1794;0.0;354;-0.7;354;0;3533;14;3533;2;3533;80;17703;0;17651;1;4380;0.1;2194;0.1;3479;0;2194;0.0;17651;0;17225;0;8704;0;3582;16;3580;15;3582;17;3530;14.8;3530;15;3530;16;3555;18;3555;18;3555;17;3583;17;3580;15;3432;15;3432;14;3432;14;3432;14;3580;0;3580;0;3505;18.8;3455;30.5;3530;41;17225;0;17225;1;17651;0;17651;0;17651;0;8704;0;3455;0.0000;3455;0.01;
3705;13.0;18680;0;3732;-304;3732;-242;3730;1003;3732;3.6;3734;-242;18653;0;18653;0;18653;0;18679;0;9691;0;3782;14;3782;14;3630;137.77;3730;19;5699;60.000;5699;26.000;5699;30.000;3784;16;3634;16;3734;11.5;4546;611.8645;18718;0;3605;0.00;18653;0;18653;0;18653;0;3733;0.0;1894;0.0;375;-0.7;375;0;3733;14;3733;2;3733;80;18705;0;18653;1;4631;0.1;2445;0.1;3680;0;2445;0.0;18653;0;18227;0;9691;0;3783;16;3781;14;3783;17;3730;14.8;3731;15;3731;16;3755;18;3755;18;3756;17;3782;17;3780;15;3632;14;3632;14;3633;14;3632;15;3780;0;3780;0;3705;18.8;3655;30.5;3730;41;18227;0;18227;1;18653;0;18653;0;18653;0;9691;0;3655;0.0000;3655;0.01;
3906;12.9;;;3933;-313;3933;-251;3930;1003;3932;3.6;3934;-261;;;;;;;;;9705;0;3983;14;3982;14;3830;129.82;3931;19;6000;60.000;6000;26.000;6000;30.000;3984;16;3834;16;3934;11.5;4796;611.8958;;;3805;0.00;;;;;;;3933;0.0;1994;0.0;394;-0.7;395;0;3933;14;3933;2;3934;80;;;;;4881;0.1;2445;0.1;3880;0;2445;0.0;;;19228;0;9705;0;3983;16;3981;13;3983;17;3930;14.8;3931;15;3931;16;3955;18;3956;18;3956;17;3983;17;3981;15;3832;14;3832;14;3833;14;3833;15;3980;0;3980;0;3906;18.8;3855;30.5;3930;41;19228;0;19228;1;;;;;;;9705;0;3855;0.0000;3856;0.01;
