Czas [ms];aaaa[°C];Czas [ms];bbbb[-];Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[kPa];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kanał_Statyczny1[-];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przepustnica Tryb0[%];Czas [ms];Przyklad[bar];Czas [ms];PWM Tryb0[%];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin 5/6[°C];Czas [ms];Temp. spalin 6/6[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
2007;12.5;10571;0;2168;-341;2169;-270;2024;1004;2168;3.5;2169;-233;10537;0;10537;0;10537;0;10571;0;5523;0;2018;17;2018;32;2124;136.90;2025;19;3213;60.000;3213;26.000;3213;30.000;2107;16;2157;16;2056;11.6;2729;284.8456;10824;0;2107;0.00;10537;0;10537;0;10537;0;2168;0.0;1010;0.0;200;-1.2;29851;0.3;200;0;2169;57;2169;2;2169;80;10531;0;10537;1;2623;0.0;1310;0.0;2174;0;1310;0.0;10537;0;29851;803;10339;0;5523;0;2018;12;2075;40;2018;11;2024;10.7;2025;16;2025;22;2057;16;2057;16;2057;15;2018;15;2075;22;2068;58;2068;64;2068;65;2068;59;2074;0;2074;0;2007;19.4;2157;30.5;2024;54;10339;0;10339;1;10537;0;10537;0;10537;0;5523;0;2157;0.0000;2157;0.00;
2207;12.5;11573;0;2370;-323;2369;-279;2225;1004;2368;3.5;2369;-224;11539;0;11539;0;11539;0;11573;0;5817;0;2218;17;2218;32;2324;135.17;2226;19;3513;60.000;3513;26.000;3513;30.000;2307;16;2357;16;2257;11.6;2979;284.8647;11826;0;2307;0.00;11539;0;11539;0;11539;0;2370;0.0;1110;0.0;220;-1.1;29851;0.3;220;0;2368;57;2369;2;2369;80;11533;0;11539;1;2874;0.0;1310;0.0;2375;0;1310;0.0;11539;0;29851;803;11340;0;5817;0;2218;12;2275;40;2219;11;2226;10.7;2226;16;2226;22;2257;16;2257;16;2258;15;2219;15;2275;22;2268;58;2268;66;2268;65;2269;59;2274;0;2275;0;2208;19.4;2357;30.5;2225;54;11340;0;11340;1;11539;0;11539;0;11539;0;5817;0;2358;0.0000;2358;0.00;
2408;12.5;12574;0;2570;-277;2570;-270;2425;1004;2568;3.5;2570;-224;12541;0;12541;0;12541;0;12575;0;6524;0;2418;17;2418;32;2525;132.24;2426;19;3814;60.000;3814;26.000;3814;30.000;2507;16;2557;16;2457;11.5;3230;284.9213;12827;0;2508;0.00;12540;0;12540;0;12541;0;2569;0.0;1210;0.0;240;-1.2;30102;0.3;240;0;2569;57;2569;2;2569;80;12534;0;12540;1;3124;0.0;1561;0.0;2575;0;1561;0.0;12540;0;30102;803;12342;0;6524;0;2419;12;2475;40;2419;11;2425;10.7;2425;16;2425;22;2457;16;2458;16;2458;15;2419;15;2475;22;2468;58;2469;66;2469;65;2469;59;2475;0;2475;0;2408;19.4;2558;30.5;2425;54;12342;0;12342;1;12540;0;12540;0;12540;0;6524;0;2558;0.0000;2559;0.00;
2608;12.5;13576;0;2770;-268;2770;-279;2625;1004;2769;3.5;2769;-177;13542;0;13542;0;13542;0;13576;0;6818;0;2619;17;2618;32;2725;137.76;2626;19;4114;60.000;4114;26.000;4114;30.000;2707;16;2757;16;2657;11.5;3480;284.8994;13829;0;2708;0.00;13542;0;13542;0;13542;0;2770;0.0;1311;0.0;260;-1.2;30102;0.3;260;0;2770;57;2769;2;2769;80;13535;0;13542;1;3374;0.0;1561;0.0;2775;0;1561;0.0;13542;0;30102;803;13344;0;6818;0;2619;12;2676;40;2619;11;2625;10.7;2626;16;2625;22;2658;16;2658;16;2658;15;2619;15;2675;22;2669;58;2669;66;2669;65;2669;59;2675;0;2675;0;2608;19.4;2758;30.5;2625;54;13344;0;13344;1;13542;0;13542;0;13542;0;6818;0;2758;0.0000;2758;0.00;
2809;12.5;14577;0;2970;-277;2970;-288;2825;1004;2969;3.5;2970;-205;14544;0;14544;0;14544;0;14578;0;7526;0;2819;17;2819;32;2925;137.26;2826;19;4415;60.000;4415;26.000;4415;30.000;2908;16;2958;16;2858;11.5;3730;284.8351;14830;0;2908;0.00;14543;0;14543;0;14543;0;2971;0.0;1411;0.0;280;-1.2;30352;0.3;280;0;2969;57;2970;2;2970;80;14537;0;14543;1;3625;0.0;1811;0.0;2975;0;1811;0.0;14543;0;30352;803;14345;0;7526;0;2819;12;2876;40;2819;11;2826;10.7;2826;16;2826;22;2858;16;2858;16;2859;15;2820;15;2876;21;2869;58;2869;66;2869;65;2870;59;2875;0;2876;0;2809;19.4;2958;30.5;2826;54;14345;0;14345;1;14543;0;14543;0;14543;0;7526;0;2958;0.0000;2959;0.00;
3009;12.5;15579;0;3170;-332;3170;-279;3025;1004;3169;3.6;3170;-177;15546;0;15546;0;15546;0;15579;0;7820;0;3019;17;3019;32;3127;134.25;3027;19;4715;60.000;4715;26.000;4715;30.000;3108;16;3158;16;3058;11.5;3981;284.8184;15832;0;3109;0.00;15546;0;15546;0;15546;0;3171;0.0;1511;0.0;300;-1.2;30352;0.3;300;0;3171;57;3171;2;3170;80;15538;0;15546;1;3875;0.0;1811;0.0;3176;0;1811;0.0;15546;0;30352;803;15347;0;7820;0;3020;12;3077;40;3020;11;3026;10.7;3026;16;3026;22;3058;16;3059;16;3059;15;3020;15;3077;21;3069;57;3069;65;3070;65;3070;58;3077;0;3077;0;3009;19.4;3159;30.5;3026;54;15347;0;15347;1;15546;0;15546;0;15546;0;7820;0;3159;0.0000;3159;0.00;
3209;12.5;16580;0;3371;-368;3371;-306;3226;1004;3371;3.6;3372;-214;16546;0;16546;0;16546;0;16581;0;8528;0;3220;17;3219;32;3326;132.40;3227;19;5016;60.000;5016;26.000;5016;30.000;3308;16;3358;16;3258;11.5;4231;284.7765;16833;0;3309;0.00;16546;0;16546;0;16546;0;3371;0.0;1611;0.0;320;-1.2;30377;0.3;320;0;3372;57;3372;2;3372;80;16540;0;16546;1;4125;0.0;2061;0.0;3376;0;2061;0.0;16546;0;30377;1303;16349;0;8528;0;3220;12;3277;40;3220;11;3226;10.7;3227;16;3226;22;3259;16;3259;16;3259;15;3220;15;3276;21;3270;57;3270;65;3270;65;3270;58;3276;0;3276;0;3209;19.4;3359;30.5;3226;54;16349;0;16349;1;16546;0;16546;0;16546;0;8528;0;3359;0.0000;3359;0.00;
3409;12.6;17582;0;3571;-368;3570;-306;3426;1004;3570;3.6;3570;-214;17548;0;17548;0;17548;0;17582;0;8821;0;3420;17;3420;32;3527;136.21;3427;19;5316;60.000;5316;26.000;5316;30.000;3509;16;3559;16;3458;11.5;4482;284.8098;17834;0;3509;0.00;17548;0;17548;0;17548;0;3571;0.0;1711;0.0;340;-1.2;30377;0.3;340;0;3571;57;3571;2;3572;80;17541;0;17548;1;4376;0.0;2061;0.0;3576;0;2061;0.0;17548;0;30377;1303;17351;0;8821;0;3420;12;3477;40;3420;11;3426;10.7;3427;16;3426;22;3459;16;3460;16;3460;15;3421;15;3477;21;3470;57;3470;65;3470;65;3471;58;3476;0;3476;0;3409;19.4;3559;30.5;3427;54;17351;0;17351;1;17548;0;17548;0;17548;0;8821;0;3560;0.0000;3560;0.00;
3609;12.6;18583;0;3771;-332;3771;-324;3626;1004;3770;3.6;3772;-233;18551;0;18551;0;18551;0;18584;0;9529;0;3620;17;3620;32;3727;138.87;3627;19;5616;60.000;5616;26.000;5617;30.000;3709;16;3759;16;3659;11.5;4732;284.8835;18836;0;3710;0.00;18550;0;18550;0;18550;0;3771;0.0;1811;0.0;360;-1.2;30602;0.3;360;0;3771;57;3771;2;3772;80;18543;0;18550;1;4626;0.0;2312;0.0;3777;0;2312;0.0;18550;0;30602;1303;18352;0;9529;0;3620;12;3677;40;3621;11;3627;10.7;3627;16;3627;22;3659;16;3660;16;3660;15;3621;15;3677;22;3670;58;3670;61;3671;64;3671;58;3677;0;3677;0;3610;19.4;3759;30.5;3627;54;18352;0;18352;1;18550;0;18550;0;18550;0;9529;0;3760;0.0000;3760;0.00;
3810;12.5;19585;0;3971;-268;3971;-315;3827;1004;3971;3.5;3972;-186;19551;0;19551;0;19551;0;19585;0;9823;0;3821;17;3820;32;3927;132.65;3828;19;5917;60.000;5917;26.000;5917;30.000;3909;16;3959;16;3859;11.5;4982;284.8780;19837;0;3910;0.00;19551;0;19551;0;19551;0;3971;0.0;1911;0.0;380;-1.2;30602;0.3;380;0;3972;57;3972;2;3972;80;19544;0;19551;1;4877;0.0;2312;0.0;3977;0;2312;0.0;19551;0;30602;1303;19354;0;9823;0;3821;12;3878;40;3821;12;3827;10.7;3828;16;3827;22;3860;16;3860;16;3860;15;3821;15;3877;21;3870;58;3871;63;3871;66;3871;58;3877;0;3877;0;3810;19.4;3960;30.5;3827;54;19354;0;19354;1;19551;0;19551;0;19551;0;9823;0;3960;0.0000;3960;0.00;
4010;12.6;20587;0;4171;-304;4171;-270;4027;1004;4171;3.5;4173;-168;20553;0;20553;0;20553;0;20586;0;10531;0;4021;17;4021;32;4127;132.94;4028;19;6217;60.000;6217;26.000;6217;30.000;4109;16;4159;16;4059;11.5;5233;284.8518;20839;0;4110;0.00;20552;0;20552;0;20552;0;4172;0.0;2012;0.0;400;-1.2;30853;0.3;400;0;4172;57;4172;2;4172;80;20546;0;20552;1;5127;0.0;2562;0.0;4177;0;2562;0.0;20552;0;30853;1303;20356;0;10531;0;4021;12;4078;40;4021;12;4027;10.7;4028;16;4028;22;4060;16;4060;16;4060;15;4022;15;4078;21;4071;58;4071;65;4071;67;4071;57;4077;0;4077;0;4010;19.4;4160;30.5;4027;54;20356;0;20356;1;20552;0;20552;0;20552;0;10531;0;4160;0.0000;4161;0.00;
4210;12.5;21590;0;4372;-304;4371;-242;4227;1004;4371;3.5;4373;-196;21555;0;21555;0;21555;0;21589;0;10824;0;4222;17;4221;32;4327;133.69;4228;19;6518;60.000;6518;26.000;6518;30.000;4310;16;4360;16;4260;11.5;5483;284.8594;21840;0;4311;0.00;21555;0;21555;0;21555;0;4372;0.0;2112;0.0;420;-1.2;30853;0.3;420;0;4372;57;4372;2;4373;80;21548;0;21555;1;5377;0.0;2562;0.0;4378;0;2562;0.0;21555;0;30853;1303;21357;0;10824;0;4221;12;4278;40;4221;12;4228;10.7;4228;16;4228;22;4260;16;4261;16;4261;15;4222;15;4278;21;4271;60;4271;66;4272;65;4272;58;4277;0;4278;0;4211;19.4;4360;30.5;4227;54;21357;0;21357;1;21555;0;21555;0;21555;0;10824;0;4361;0.0000;4361;0.01;
4411;12.5;22589;0;4572;-295;4572;-260;4428;1004;4572;3.5;4573;-177;22556;0;22556;0;22556;0;22589;0;11533;0;4422;17;4421;32;4528;136.41;4429;19;6818;60.000;6818;26.000;6818;30.000;4510;16;4560;16;4460;11.5;5734;284.8268;22842;0;4511;0.00;22555;0;22555;0;22555;0;4572;0.0;2212;0.0;440;-1.2;31103;0.3;440;0;4572;57;4573;2;4573;80;22550;0;22555;1;5628;0.0;2813;0.0;4578;0;2813;0.0;22555;0;31103;1303;22359;0;11533;0;4422;12;4478;40;4422;12;4428;10.7;4428;16;4428;22;4461;16;4461;16;4461;15;4421;15;4478;22;4471;60;4472;65;4472;65;4472;59;4478;0;4478;0;4411;19.4;4561;30.5;4428;54;22359;0;22359;1;22555;0;22555;0;22555;0;11533;0;4562;0.0000;4562;0.01;
4611;12.5;23591;0;4772;-359;4772;-306;4628;1004;4772;3.6;4773;-168;23557;0;23557;0;23557;0;23591;0;11825;0;4622;17;4622;32;4728;137.53;4629;19;7119;60.000;7119;26.000;7119;30.000;4710;16;4760;16;4660;11.5;5984;284.8032;23843;0;4711;0.00;23557;0;23557;0;23557;0;4773;0.0;2312;0.0;460;-1.2;31103;0.3;460;0;4773;57;4773;2;4773;80;23551;0;23557;1;5878;0.0;2813;0.0;4778;0;2813;0.0;23557;0;31103;1303;23361;0;11825;0;4622;12;4679;40;4622;12;4628;10.7;4629;16;4629;22;4661;16;4661;16;4661;15;4622;15;4679;21;4672;59;4672;65;4672;64;4672;59;4678;0;4678;0;4611;19.4;4761;30.5;4628;54;23361;0;23361;1;23557;0;23557;0;23557;0;11825;0;4761;0.0000;4762;0.01;
4811;12.6;24592;0;4973;-341;4972;-352;4828;1004;4972;3.5;4974;-168;24559;0;24559;0;24559;0;24593;0;12534;0;4822;17;4822;32;4928;134.45;4830;19;7419;60.000;7419;26.000;7419;30.000;4911;16;4961;16;4860;11.5;6234;284.8629;24844;0;4912;0.00;24559;0;24559;0;24559;0;4973;0.0;2412;0.0;480;-1.2;31353;0.3;480;0;4973;57;4973;2;4974;80;24552;0;24559;1;6128;0.0;3063;0.0;4979;0;3063;0.0;24559;0;31353;1303;24363;0;12534;0;4823;12;4879;40;4823;12;4829;10.7;4829;16;4829;22;4861;16;4861;16;4862;15;4822;15;4879;22;4873;59;4873;65;4873;64;4874;59;4878;0;4879;0;4812;19.4;4962;30.5;4829;54;24363;0;24363;1;24559;0;24559;0;24559;0;12534;0;4963;0.0000;4963;0.01;
5012;12.6;25594;0;5173;-304;5173;-334;5028;1004;5172;3.5;5174;-186;25560;0;25560;0;25560;0;25595;0;12827;0;5023;17;5022;32;5129;134.62;5030;19;7720;60.000;7720;26.000;7720;30.000;5111;16;5161;16;5061;11.5;6485;284.8963;25846;0;5112;0.00;25159;0;25159;0;25159;0;5173;0.0;2512;0.0;500;-1.2;31353;0.3;500;0;5173;57;5174;2;5174;80;25554;0;25159;1;6379;0.0;3063;0.0;5179;0;3063;0.0;24954;1;31353;1303;24953;1;12827;0;5023;12;5079;40;5023;12;5029;10.7;5029;16;5029;22;5062;16;5063;16;5063;15;5022;15;5079;22;5072;59;5073;65;5073;64;5073;59;5079;0;5079;0;5012;19.4;5162;30.5;5029;54;24953;0;24953;1;25159;0;25159;0;25159;0;12827;0;5162;0.0000;5162;0.01;
